i_id;ccode;cexch_name;cdept_id;cperson_id;ccus_id;csup_id;citem_class;citem_id;iperiod;cbegind_c;cbegind_c_engl;mb;md;mc;cendd_c;cendd_c_engl;me;mb_f;md_f;mc_f;me_f;nb_s;nd_s;nc_s;ne_s
121;5011020121     ;        ;00308       ;        ;                    ;            ;  ;                    ;1;平 ;- ;0.0;1049.0;0.0;借 ;Dr;1049.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
122;5011020121     ;        ;00308       ;        ;                    ;            ;  ;                    ;2;借 ;Dr;1049.0;19046.0;0.0;借 ;Dr;20095.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
123;5011020121     ;        ;00308       ;        ;                    ;            ;  ;                    ;3;借 ;Dr;20095.0;0.0;0.0;借 ;Dr;20095.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
124;5011020121     ;        ;00308       ;        ;                    ;            ;  ;                    ;4;借 ;Dr;20095.0;0.0;0.0;借 ;Dr;20095.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
125;5011020121     ;        ;00308       ;        ;                    ;            ;  ;                    ;5;借 ;Dr;20095.0;0.0;0.0;借 ;Dr;20095.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
126;5011020121     ;        ;00308       ;        ;                    ;            ;  ;                    ;6;借 ;Dr;20095.0;0.0;0.0;借 ;Dr;20095.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
127;5011020121     ;        ;00308       ;        ;                    ;            ;  ;                    ;7;借 ;Dr;20095.0;0.0;0.0;借 ;Dr;20095.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
128;5011020121     ;        ;00308       ;        ;                    ;            ;  ;                    ;8;借 ;Dr;20095.0;0.0;0.0;借 ;Dr;20095.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
129;5011020121     ;        ;00308       ;        ;                    ;            ;  ;                    ;9;借 ;Dr;20095.0;0.0;0.0;借 ;Dr;20095.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
130;5011020121     ;        ;00308       ;        ;                    ;            ;  ;                    ;10;借 ;Dr;20095.0;0.0;0.0;借 ;Dr;20095.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
131;5011020121     ;        ;00308       ;        ;                    ;            ;  ;                    ;11;借 ;Dr;20095.0;0.0;0.0;借 ;Dr;20095.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
